건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
,,,,,,,,0,0,0,,,,,,20150806,20150810,,,20150821,20150807,70,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010325
,,,,,,,,0,0,0,,,,,,20150821,,,,,20150822,71,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010405
,,,,,,,,0,0,0,,,,,,20150821,,,,,20150822,72,서울특별시 광진구 구의동 546-7번지,11215,10300,0,0546,0007,11215-100010406
,,,,,,,,0,0,0,,,,,,20150915,,,,,20150916,73,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010505
,,,,,,,,0,0,0,,,,,,20151007,,,20151217,20151017,20151218,74,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010566
,,,,,,,,0,0,0,,,,,,20151013,,,,,20151014,75,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010585
,,,,,,,,0,0,0,,,,,,20151021,,,,,20151022,76,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010625
,,,,,,,,0,0,0,,,,,,20151112,,,,,20151118,77,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010726
,,,,,,,,0,0,0,,,,,,20151120,20151128,,,20151203,20151121,78,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010765
,,,,,,,,0,0,0,,,,,,20151130,,,,,20151201,79,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010825
,,,,,,,,0,0,0,,,,,,20151210,,,,,20151215,80,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010965
,,,,,,,,0,0,0,,,,,,20151211,,,,,20151215,81,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100010985
,,,,,,,,0,0,0,,,,,,20151211,,,,,20151215,82,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100010986
,,,,,,,,0,0,0,,,,,,20151217,,,,,20151218,83,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100011045
,,,,,,,,0,213035.37,0,,,,,,20151221,20151222,,,20160120,20151222,84,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011087
,,,,,,,,0,0,0,,,,,,20151229,,,,,20151230,85,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011105
